STATE,DISTRICT,QUARTER,LEVEL
AN,South Andaman,2013-01-01,5.5
AN,South Andaman,2013-04-01,1.999041096
AN,South Andaman,2013-07-01,3.95
AN,South Andaman,2013-10-01,1.476986301
AN,South Andaman,2014-01-01,5.5
AN,South Andaman,2014-04-01,3.023888889
AN,South Andaman,2014-07-01,3.95
AN,South Andaman,2014-10-01,1.854166667
AN,South Andaman,2015-01-01,5.5
AN,South Andaman,2015-04-01,3.440138889
AN,South Andaman,2015-07-01,3.95
AN,South Andaman,2015-10-01,1.649305556
AN,South Andaman,2016-01-01,5.5
AN,South Andaman,2016-04-01,3.19028169
AN,South Andaman,2016-07-01,3.95
AN,South Andaman,2016-10-01,1.420985915
AN,South Andaman,2017-01-01,5.5
AN,South Andaman,2017-04-01,3.488823529
AN,South Andaman,2017-07-01,3.95
AN,South Andaman,2017-10-01,1.318235294
AN,South Andaman,2018-01-01,5.5
AN,South Andaman,2018-04-01,1.358169014
AN,South Andaman,2018-07-01,3.95
AN,South Andaman,2018-10-01,1.291690141
AP,Anantapur,1996-01-01,8.946804124
AP,Anantapur,1996-04-01,9.955051546
AP,Anantapur,1996-07-01,7.951237113
AP,Anantapur,1996-10-01,5.006082474
AP,Anantapur,1997-01-01,5.056947368
AP,Anantapur,1997-04-01,7.689789474
AP,Anantapur,1997-07-01,6.689368421
AP,Anantapur,1997-10-01,5.932947368
AP,Anantapur,1998-01-01,6.612592593
AP,Anantapur,1998-04-01,8.64962963
AP,Anantapur,1998-07-01,6.000123457
AP,Anantapur,1998-10-01,4.849876543
AP,Anantapur,1999-01-01,6.104605263
AP,Anantapur,1999-04-01,7.779868421
AP,Anantapur,1999-07-01,8.183289474
AP,Anantapur,1999-10-01,6.893421053
AP,Anantapur,2000-01-01,7.408378378
AP,Anantapur,2000-04-01,9.407162162
AP,Anantapur,2000-07-01,7.202567568
AP,Anantapur,2000-10-01,6.063243243
AP,Anantapur,2001-01-01,6.763918919
AP,Anantapur,2001-04-01,8.619189189
AP,Anantapur,2001-07-01,9.243648649
AP,Anantapur,2001-10-01,4.17972973
AP,Anantapur,2002-01-01,4.955138889
AP,Anantapur,2002-04-01,8.295138889
AP,Anantapur,2002-07-01,8.095555556
AP,Anantapur,2002-10-01,7.750138889
AP,Anantapur,2003-01-01,8.499846154
AP,Anantapur,2003-04-01,11.77230769
AP,Anantapur,2003-07-01,11.05292308
AP,Anantapur,2003-10-01,8.134153846
AP,Anantapur,2004-01-01,10.04192982
AP,Anantapur,2004-04-01,11.62175439
AP,Anantapur,2004-07-01,10.07105263
AP,Anantapur,2004-10-01,9.324385965
AP,Anantapur,2005-01-01,15.9852381
AP,Anantapur,2005-04-01,17.73542778
AP,Anantapur,2005-07-01,13.20095238
AP,Anantapur,2005-10-01,9.048730159
AP,Anantapur,2006-01-01,10.64825
AP,Anantapur,2006-04-01,12.4356775
AP,Anantapur,2006-07-01,11.56141667
AP,Anantapur,2006-10-01,12.25366667
AP,Anantapur,2007-01-01,14.41324786
AP,Anantapur,2007-04-01,15.81078034
AP,Anantapur,2007-07-01,12.18454103
AP,Anantapur,2007-10-01,9.356581197
AP,Anantapur,2008-01-01,10.79307692
AP,Anantapur,2008-04-01,12.20616496
AP,Anantapur,2008-07-01,8.680523932
AP,Anantapur,2008-10-01,7.935555556
AP,Anantapur,2009-01-01,9.588461538
AP,Anantapur,2009-04-01,7.255897436
AP,Anantapur,2009-07-01,5.367008547
AP,Anantapur,2009-10-01,4.917692308
AP,Anantapur,2010-01-01,7.441904762
AP,Anantapur,2010-04-01,8.077142857
AP,Anantapur,2010-07-01,7.215952381
AP,Anantapur,2010-10-01,5.18547619
AP,Anantapur,2011-01-01,5.46225
AP,Anantapur,2011-04-01,7.87425
AP,Anantapur,2011-07-01,6.31625
AP,Anantapur,2011-10-01,6.68625
AP,Anantapur,2012-01-01,7.03
AP,Anantapur,2012-04-01,8.254042553
AP,Anantapur,2012-07-01,3.95
AP,Anantapur,2012-10-01,8.250851064
AP,Anantapur,2013-01-01,8.526363636
AP,Anantapur,2013-04-01,10.42581818
AP,Anantapur,2013-07-01,3.95
AP,Anantapur,2013-10-01,6.098363636
AP,Anantapur,2014-01-01,6.864666667
AP,Anantapur,2014-04-01,8.780166667
AP,Anantapur,2014-07-01,8.613833333
AP,Anantapur,2014-10-01,8.5575
AP,Anantapur,2015-01-01,8.3275
AP,Anantapur,2015-04-01,9.626964286
AP,Anantapur,2015-07-01,9.512142857
AP,Anantapur,2015-10-01,7.569107143
AP,Anantapur,2016-01-01,5.604929577
AP,Anantapur,2016-04-01,8.682535211
AP,Anantapur,2016-07-01,7.406901408
AP,Anantapur,2016-10-01,7.851408451
AP,Anantapur,2017-01-01,10.37678571
AP,Anantapur,2017-04-01,11.9775
AP,Anantapur,2017-07-01,11.77288036
AP,Anantapur,2017-10-01,7.104285714
AP,Anantapur,2018-01-01,7.18037037
AP,Anantapur,2018-04-01,7.198333333
AP,Anantapur,2018-07-01,4.077962963
AP,Anantapur,2018-10-01,9.486111111
AP,Chittoor,1996-01-01,6.14704918
AP,Chittoor,1996-04-01,7.78442623
AP,Chittoor,1996-07-01,5.413278689
AP,Chittoor,1996-10-01,3.191311475
AP,Chittoor,1997-01-01,2.929298246
AP,Chittoor,1997-04-01,6.172280702
AP,Chittoor,1997-07-01,6.142105263
AP,Chittoor,1997-10-01,5.107719298
AP,Chittoor,1998-01-01,4.531818182
AP,Chittoor,1998-04-01,7.447090909
AP,Chittoor,1998-07-01,6.077818182
AP,Chittoor,1998-10-01,4.337818182
AP,Chittoor,1999-01-01,5.3584
AP,Chittoor,1999-04-01,7.2144
AP,Chittoor,1999-07-01,8.4172
AP,Chittoor,1999-10-01,7.158
AP,Chittoor,2000-01-01,7.237708333
AP,Chittoor,2000-04-01,7.731875
AP,Chittoor,2000-07-01,6.822916667
AP,Chittoor,2000-10-01,5.960208333
AP,Chittoor,2001-01-01,5.656170213
AP,Chittoor,2001-04-01,8.649148936
AP,Chittoor,2001-07-01,9.190425532
AP,Chittoor,2001-10-01,4.392553191
AP,Chittoor,2002-01-01,5.043636364
AP,Chittoor,2002-04-01,7.481363636
AP,Chittoor,2002-07-01,8.758863636
AP,Chittoor,2002-10-01,7.381818182
AP,Chittoor,2003-01-01,8.435813953
AP,Chittoor,2003-04-01,10.52139535
AP,Chittoor,2003-07-01,8.134883721
AP,Chittoor,2003-10-01,7.958139535
AP,Chittoor,2004-01-01,9.102857143
AP,Chittoor,2004-04-01,9.278809524
AP,Chittoor,2004-07-01,9.91
AP,Chittoor,2004-10-01,8.432619048
AP,Chittoor,2005-01-01,14.5155
AP,Chittoor,2005-04-01,16.4517
AP,Chittoor,2005-07-01,13.8863
AP,Chittoor,2005-10-01,6.1874
AP,Chittoor,2006-01-01,7.137171717
AP,Chittoor,2006-04-01,9.244040404
AP,Chittoor,2006-07-01,9.864646465
AP,Chittoor,2006-10-01,8.164040404
AP,Chittoor,2007-01-01,11.14193878
AP,Chittoor,2007-04-01,13.12326531
AP,Chittoor,2007-07-01,10.62173469
AP,Chittoor,2007-10-01,7.95755102
AP,Chittoor,2008-01-01,8.499157895
AP,Chittoor,2008-04-01,10.63252632
AP,Chittoor,2008-07-01,10.05894737
AP,Chittoor,2008-10-01,7.566105263
AP,Chittoor,2009-01-01,8.430531915
AP,Chittoor,2009-04-01,7.406276596
AP,Chittoor,2009-07-01,5.655212766
AP,Chittoor,2009-10-01,5.62712766
AP,Chittoor,2010-01-01,6.881714286
AP,Chittoor,2010-04-01,7.867714286
AP,Chittoor,2010-07-01,5.772
AP,Chittoor,2010-10-01,4.687428571
AP,Chittoor,2011-01-01,4.886857143
AP,Chittoor,2011-04-01,7.451714286
AP,Chittoor,2011-07-01,6.154
